text,label
gün içinde bir parlama,Normal
Gün içinde alın burun ve yanaklarda biraz yağlanma,Normal
sabun sonrası kuruluk oluyor,Normal
Fazla kuruması,Karma
Gün içinde T bölgesinde yağlanma,Karma
"Soğuk havada Kızarma,tahriş",Karma
belirgin şikayet yağlanma olması,Yağlı
Yüz yıkama sonrası yağlılık hissedilmesi,Yağlı
alın ve burun üstünde parlama oluyor ,Yağlı
duş sonrası gerilme oluyor ,Yağlı
"Gözeneklerimin geniş olması, cildimin sürekli pütürlü olması, sivilceye yatkın ve yağlı cildimin olması",Karma
T bölgemde yağlanma oluyor ,Karma
Soğuk havalarda cildim kuru ve donuk gözüküyor. ,Karma
Soğuk havada cilt kuruması ,Kuru
Gün içinde yağlanma olmuyor,Kuru
duş sonrası cilt kuruması ,Kuru
Kurulluk ve soyulma yıkandıktan sonra pul pul dökülme ,Kuru
Gergin ve döküntülü ,Kuru
Aşırı kuruluk ve kırmızı döküntüler ,Kuru
hızlı yağlanma ve büyük gözenekler,Yağlı
yüzümün bir kısmı gergin bir kısmı yağlı,Yağlı
burun ve alın bölgemde parlama,Yağlı
kışınsa kuruluk ve dökülme,Yağlı
Problem yok,Normal
Yüzümü yıkadıktan sonra herhangi bir belirgin özellik görmüyorum,Normal
Yüz cildim doğal yağlı kreme gerek yok ,Normal
Soğuk havada cildimde problem yok,Normal
Günde 1 defa suyla yıkıyorum tüm gün gergin duruyor,Normal
Yüzümü yıkadıktan sonra cildim gergin ,Normal
Her tarafım parlıyor genelde,Normal
Gözenekler şahlanıyor,Normal
soğukta cildim çok kuruyor,Karma
alnımda özellikle yağlanma oluyor,Karma
Duş sonrası belirgin kuruma oluyor ,Karma
Sürekli tane tane sivilce çıkması,Yağlı
Yağlanma gün içinde her yerinde oluyor ama T bölgesinde daha fazla oluyor,Karma
Yağlı,Yağlı
Yüz yıkama sonrası hafif yağlı,Yağlı
T bölgesinde yağlanma oloyor,Karma